@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":4:13:4:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":14:13:14:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":27:13:27:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":43:13:43:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":55:13:55:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\SgCore\OSC\2.0.101\osc_comps.v":67:13:67:25|User defined pragma syn_black_box detected
@W: CG100 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\work\prj_2_memory_sb_sb_MSS\prj_2_memory_sb_sb_MSS_syn.v":532:13:532:25|User defined pragma syn_black_box detected
@W: CL118 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\TBEC_RSC_decoder.sv":49:2:49:3|Latch generated from always block for signal bit2; possible missing assignment in an if or case statement.
@W: CL118 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\TBEC_RSC_decoder.sv":49:2:49:3|Latch generated from always block for signal bit1; possible missing assignment in an if or case statement.
@W: CL118 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\TBEC_RSC_decoder.sv":49:2:49:3|Latch generated from always block for signal bit3; possible missing assignment in an if or case statement.
@W: CL217 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\TBEC_RSC_decoder.sv":49:2:49:3|always_comb does not infer combinatorial logic
@W: CL217 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\TBEC_RSC_decoder.sv":49:2:49:3|always_comb does not infer combinatorial logic
@W: CL217 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\TBEC_RSC_decoder.sv":49:2:49:3|always_comb does not infer combinatorial logic
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\MRSC_decoder.sv":13:14:13:18|Object sumSP is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\MRSC_decoder.sv":13:20:13:25|Object sumSDi is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\MRSC_decoder.sv":4:12:4:14|Object red is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\ecc_design.sv":24:15:24:29|Object decoder_output3 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\ecc_design.sv":25:15:25:29|Object encoder_output3 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\ecc_design.sv":27:15:27:29|Object decoder_output4 is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\hdl\ecc_design.sv":28:15:28:29|Object encoder_output4 is declared but not assigned. Either assign a value or remove the declaration.
@W: CL169 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":1613:4:1613:9|Pruning unused register count_ddr[13:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":1581:4:1581:9|Pruning unused register count_sdif3[12:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":1549:4:1549:9|Pruning unused register count_sdif2[12:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":1517:4:1517:9|Pruning unused register count_sdif1[12:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":1485:4:1485:9|Pruning unused register count_sdif0[12:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\Lucas\Documents\Nascerr\FPGA_design\FPGA2memory\component\Actel\DirectCore\CoreResetP\7.1.100\rtl\vlog\core\coreresetp.v":1455:4:1455:9|Pruning unused register count_sdif0_enable_q1. Make sure that there are no unused intermediate registers.
