
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. prj_2_memory_sb, 48, 358, 0, 0, 0, 0, 0, 3, 109
.	. OSC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. OSC_C0_OSC_C0_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. fpga_top_design, 38, 347, 0, 0, 0, 0, 0, 2, 0
.	.	. ecc_design, 35, 336, 0, 0, 0, 0, 0, 2, 0
.	.	.	. TBEC_RSC_decoder, 3, 152, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TBEC_RSC_encoder, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TBEC_RSC_encoder13, 0, 60, 0, 0, 0, 0, 0, 0, 0
.	. lfsr_random_generator3, 5, 3, 0, 0, 0, 0, 0, 0, 0
.	. lfsr_random_generator_position, 5, 1, 0, 0, 0, 0, 0, 0, 0
